feature,type,importance
curl_stress_curl,gain,0.05509708488354066
fsle_fsle_max,gain,0.04302750726995761
glorys_mlotst_surface,gain,0.04610515193099471
glorys_thetao_surface,gain,0.019433319677525266
glorys_vo_surface,gain,0.04816025290015058
glorys_thetao_surface_grad,gain,0.06751074641634215
BOTSALIN,gain,0.21240965313042529
BOTTEMP,gain,0.0665828102714385
SURFTEMP,gain,0.03494218617324886
SURFSALIN,gain,0.06458501239655992
pace_carbon_phyto_log,gain,0.10108124505257456
pace_carbon_phyto_grad_log,gain,0.045891147483753766
pace_chlor_a_log,gain,0.03408505928771209
pace_chlor_a_grad_log,gain,0.04029542999028927
pace_poc_log,gain,0.03713652341871897
pace_Kd_490,gain,0.03891230324022721
pace_poc_grad_log,gain,0.04474456647654068
curl_stress_curl,permutation,-0.014068648152697105
fsle_fsle_max,permutation,-0.012883859610830672
glorys_mlotst_surface,permutation,-0.014933115837180622
glorys_thetao_surface,permutation,-0.004348550332305056
glorys_vo_surface,permutation,-0.011463154707386658
glorys_thetao_surface_grad,permutation,-0.014074593159940618
BOTSALIN,permutation,-0.014040243156315768
BOTTEMP,permutation,-0.01939988833292248
SURFTEMP,permutation,-0.008825066524193237
SURFSALIN,permutation,-0.01654132512686126
pace_carbon_phyto_log,permutation,-0.028649962683047737
pace_carbon_phyto_grad_log,permutation,-0.012849746655365401
pace_chlor_a_log,permutation,-0.013706628733226279
pace_chlor_a_grad_log,permutation,-0.009620857455831721
pace_poc_log,permutation,-0.016166285504225386
pace_Kd_490,permutation,-0.01614472433049898
pace_poc_grad_log,permutation,-0.011198693338973987
curl_stress_curl,shap,0.009941391984163371
fsle_fsle_max,shap,0.00907669542648173
glorys_mlotst_surface,shap,0.008907369910699394
glorys_thetao_surface,shap,0.0037505197800032494
glorys_vo_surface,shap,0.012420189936102145
glorys_thetao_surface_grad,shap,0.0245509491551201
BOTSALIN,shap,0.09050434506429574
BOTTEMP,shap,0.02306337758310119
SURFTEMP,shap,0.006181026181584795
SURFSALIN,shap,0.01795797486989658
pace_carbon_phyto_log,shap,0.029673905030333358
pace_carbon_phyto_grad_log,shap,0.009616018901420761
pace_chlor_a_log,shap,0.008088650587199717
pace_chlor_a_grad_log,shap,0.009055446117096869
pace_poc_log,shap,0.007804327290427277
pace_Kd_490,shap,0.008270794740451653
pace_poc_grad_log,shap,0.007836369407776659
