split,model,R²_train,R²_test,R²_gap,RMSE_test,MAE_test
max_time_dist,HistGradientBoosting,0.9982402188150687,-1.0555432718896403,2.053783490704709,1.4963889311335288,0.7755934943243112
max_time_dist,RandomForest,0.9980853513102554,0.8401322403351426,0.1579531109751129,1.8584354552398406,1.1382468062946627
max_time_dist,GradientBoosting,0.9992830178908599,0.8358011558620819,0.163481862028778,1.8834412839908565,1.1130771412892047
max_time_dist,ExtraTrees,0.9991235172349772,0.8919480378937974,0.10717547934117977,1.527859316232273,0.9196424760791854
max_time_dist,Ridge,0.9103057607252725,0.8902568520120855,0.020048908713186986,1.5397696133428018,0.8540631784975727
max_time_dist,Lasso,0.8658178443716555,0.8881663806506283,-0.022348536278972708,1.5543657857177173,0.9671206550780964
max_time_dist,ElasticNet,0.8689847047750208,0.8924029536058117,-0.02341824883079091,1.5246396601350982,0.9558266402855377
max_time_dist,KNN,1.0,0.7911302198342218,0.20886978016577817,2.124246164132161,1.3574616626776062
random,HistGradientBoosting,0.9960293260261266,0.8883807113381764,0.10764861468795017,0.924808431264837,0.56624317081754
random,RandomForest,0.998628456253593,0.46893609116284196,0.529692365090751,1.1312305052241736,0.8775051643335402
random,GradientBoosting,0.9993579952155236,0.5552364622563626,0.444121532959161,1.035242998851369,0.7275837347321533
random,ExtraTrees,0.9996036492470696,0.6552438886036471,0.34435976064342244,0.9114517872642398,0.5714810334650532
random,Ridge,0.9323985901169871,0.6714156879917934,0.2609829021251937,0.8898178762673769,0.6805691847850738
random,Lasso,0.908752269321513,0.6649211322974624,0.24383113702405057,0.8985685904470677,0.636796395981143
random,ElasticNet,0.9095733301187597,0.6448531278371776,0.2647202022815821,0.9250851536364292,0.6437871805340426
random,KNN,1.0,0.46975867626030376,0.5302413237396962,1.130354062715211,0.8125771860566624
overfit,HistGradientBoosting,0.9953536080254124,0.9962260345476893,-0.0008724265222769256,0.19475744701729356,0.08373257368327232
overfit,RandomForest,0.9983277821159218,0.9973619507381395,0.000965831377782278,0.1777591238713601,0.030421195667773227
overfit,GradientBoosting,0.9989576512318952,0.9969298920683862,0.0020277591635089465,0.19176408490240804,0.10114858814782081
overfit,ExtraTrees,0.9994068374381518,0.9975300838435619,0.0018767535945899416,0.17200123134699158,0.05229366122577761
overfit,Ridge,0.929128025542824,0.920607852895881,0.008520172646943047,0.9751675119087222,0.6407883693956211
overfit,Lasso,0.9018087655195042,0.8960812486308558,0.005727516888648365,1.1156742521978802,0.7391623178442621
overfit,ElasticNet,0.9027429938764303,0.8968478892060865,0.00589510467034382,1.1115512980787163,0.7357799485490775
overfit,KNN,1.0,0.9970028262651132,0.0029971737348868377,0.1894725977676922,0.025112748835683735
